timestamp,x,y,yaw
1715380583.9140792,0.819897,1.256330,-1.252765
1715380583.9582953,0.818441,1.254514,-1.252853
1715380583.961793,0.818441,1.254514,-1.252853
1715380584.0450232,0.818575,1.254570,-1.252202
1715380584.0469358,0.818575,1.254570,-1.252202
1715380584.0766113,0.821099,1.257576,-1.252799
1715380584.0800824,0.821099,1.257576,-1.252799
1715380584.108733,0.812536,1.248059,-1.252791
1715380584.110057,0.812536,1.248059,-1.252791
1715380584.158772,0.817449,1.253306,-1.253034
1715380584.1624756,0.817449,1.253306,-1.253034
1715380584.2084677,0.815026,1.250994,-1.253080
1715380584.2099204,0.815026,1.250994,-1.253080
1715380584.2587516,0.818575,1.254570,-1.252411
1715380584.2620733,0.818575,1.254570,-1.252411
1715380584.3444643,0.812256,1.247737,-1.252965
1715380584.3458443,0.812256,1.247737,-1.252965
1715380584.3820546,0.818441,1.254514,-1.253013
1715380584.3844278,0.818441,1.254514,-1.253013
1715380584.4088054,0.814767,1.250502,-1.252994
1715380584.4104202,0.814767,1.250502,-1.252994
1715380584.4591727,0.816124,1.251940,-1.253032
1715380584.460747,0.816124,1.251940,-1.253032
1715380584.5084825,0.823043,1.259659,-1.251951
1715380584.5098557,0.823043,1.259659,-1.251951
1715380584.5585656,0.818246,1.254642,-1.252086
1715380584.561701,0.818246,1.254642,-1.252086
1715380584.6444795,0.812197,1.247414,-1.252643
1715380584.6465597,0.812197,1.247414,-1.252643
1715380584.6761813,0.820630,1.257186,-1.253563
1715380584.677513,0.820630,1.257186,-1.253563
1715380584.708707,0.816249,1.252063,-1.253800
1715380584.7103384,0.816249,1.252063,-1.253800
1715380584.7590902,0.823043,1.259659,-1.252566
1715380584.760661,0.823043,1.259659,-1.252566
1715380584.808493,0.817449,1.253306,-1.252854
1715380584.8120382,0.817449,1.253306,-1.252854
1715380584.8585134,0.820115,1.256307,-1.251969
1715380584.8597622,0.820115,1.256307,-1.251969
1715380584.94469,0.814906,1.250676,-1.252560
1715380584.9463193,0.814906,1.250676,-1.252560
1715380584.9767678,0.820115,1.256307,-1.251734
1715380584.980397,0.820115,1.256307,-1.251734
1715380585.0086026,0.818575,1.254570,-1.251334
1715380585.0099673,0.818575,1.254570,-1.251334
1715380585.0588875,0.813257,1.248900,-1.251888
1715380585.0605757,0.813257,1.248900,-1.251888
1715380585.108743,0.818441,1.254514,-1.252151
1715380585.1102817,0.818441,1.254514,-1.252151
1715380585.159071,0.814906,1.250676,-1.252504
1715380585.160638,0.814906,1.250676,-1.252504
1715380585.2444139,0.818575,1.254570,-1.250236
1715380585.2459197,0.818575,1.254570,-1.250236
1715380585.2766778,0.815026,1.250994,-1.250841
1715380585.2799299,0.815026,1.250994,-1.250841
1715380585.3092113,0.810765,1.245625,-1.250962
1715380585.3110738,0.810765,1.245625,-1.250962
1715380585.3588765,0.817449,1.253306,-1.251570
1715380585.3614447,0.817449,1.253306,-1.251570
1715380585.4085798,0.829333,1.267157,-1.250578
1715380585.4100227,0.829333,1.267157,-1.250578
1715380585.4587023,0.813768,1.248803,-1.249372
1715380585.4624455,0.813768,1.248803,-1.249372
1715380585.5446682,0.826605,1.263892,-1.249600
1715380585.5473723,0.826605,1.263892,-1.249600
1715380585.5767922,0.816181,1.251763,-1.249172
1715380585.5784328,0.816181,1.251763,-1.249172
1715380585.6106987,0.821486,1.258222,-1.248637
1715380585.61445,0.821486,1.258222,-1.248637
1715380585.658772,0.812456,1.247375,-1.248326
1715380585.6608264,0.812456,1.247375,-1.248326
1715380585.7150118,0.823043,1.259659,-1.248186
1715380585.7165606,0.823043,1.259659,-1.248186
1715380585.7591941,0.823043,1.259659,-1.248075
1715380585.760782,0.823043,1.259659,-1.248075
1715380585.8446534,0.811548,1.246855,-1.250116
1715380585.8495867,0.811548,1.246855,-1.250116
1715380585.877221,0.809520,1.244330,-1.250536
1715380585.8788323,0.809520,1.244330,-1.250536
1715380585.9118757,0.817449,1.253306,-1.251230
1715380585.9163332,0.817449,1.253306,-1.251230
1715380585.958567,0.826605,1.263892,-1.250492
1715380585.9598882,0.826605,1.263892,-1.250492
1715380586.0096784,0.816181,1.251763,-1.249886
1715380586.0110505,0.816181,1.251763,-1.249886
1715380586.0584066,0.823043,1.259659,-1.249434
1715380586.0597153,0.823043,1.259659,-1.249434
1715380586.1447608,0.812456,1.247375,-1.250257
1715380586.1481616,0.812456,1.247375,-1.250257
1715380586.1764696,0.815026,1.250994,-1.250859
1715380586.178001,0.815026,1.250994,-1.250859
1715380586.2083914,0.817582,1.253361,-1.250789
1715380586.2104697,0.817582,1.253361,-1.250789
1715380586.2596052,0.820115,1.256307,-1.250317
1715380586.261803,0.820115,1.256307,-1.250317
1715380586.3088381,0.813919,1.249473,-1.251201
1715380586.3159385,0.813919,1.249473,-1.251201
1715380586.3602908,0.812456,1.247375,-1.250377
1715380586.3621163,0.812456,1.247375,-1.250377
1715380586.4442546,0.815258,1.250855,-1.251355
1715380586.4456635,0.815258,1.250855,-1.251355
1715380586.4769433,0.818575,1.254570,-1.251031
1715380586.480233,0.818575,1.254570,-1.251031
1715380586.5083656,0.813053,1.248645,-1.251659
1715380586.5097208,0.813053,1.248645,-1.251659
1715380586.5586064,0.811467,1.246170,-1.250892
1715380586.5621943,0.811467,1.246170,-1.250892
1715380586.6085572,0.826605,1.263892,-1.250221
1715380586.612419,0.826605,1.263892,-1.250221
1715380586.6591935,0.818575,1.254570,-1.250124
1715380586.6611953,0.818575,1.254570,-1.250124
1715380586.7450638,0.823043,1.259659,-1.249820
1715380586.7466896,0.823043,1.259659,-1.249820
1715380586.7767696,0.818575,1.254570,-1.249803
1715380586.7801208,0.818575,1.254570,-1.249803
1715380586.808625,0.820115,1.256307,-1.249528
